,CUSTOMER,Parameter.BondType,Parameter.Group,Parameter.No,Parameter.No_1,WIRE_SIZE,Parameter.Max,Parameter.Min,Parameter.Value,MEANX,PRED
49,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,22.108,23.11622275474769
50,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,22.108,23.064872182354684
51,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,22.108,23.070368158845643
52,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.070368158845643
53,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.11622275474769
54,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.015366662067393
55,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.064872182354684
56,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.070368158845643
57,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.11622275474769
58,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.015366662067393
59,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.064872182354684
60,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.015366662067393
61,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.064872182354684
62,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.070368158845643
63,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.11622275474769
64,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.064872182354684
65,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.070368158845643
66,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.11622275474769
67,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.015366662067393
68,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.064872182354684
69,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.070368158845643
70,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.11622275474769
71,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.015366662067393
72,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.064872182354684
73,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.070368158845643
74,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.11622275474769
75,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.015366662067393
76,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.070368158845643
77,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.11622275474769
78,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.015366662067393
79,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.064872182354684
80,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.070368158845643
81,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.070368158845643
82,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.11622275474769
83,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.015366662067393
84,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.064872182354684
85,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.070368158845643
86,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.11622275474769
